Food Item,Serving Location
Whole Wheat Banana Pancake (v),The Grill
Green Bean & Cucumber w/Miso (vgn),Greens & Grains
Roasted Vegetable Panini (vgn),Greens & Grains
Sopa de Marisco (gf),Greens & Grains
Sausage Mushroom Pizza,The Brick
Linguini with Pesto (v),The Brick
Pasta with Grilled Vegetables (vgn),The Brick
Crusty French Bread (vgn),Bakery
Vanilla Cupcake w/Strawberry Icing (v),Bakery
Salmon & Quinoa Cakes w/Salad & Relish,Chef's Choice
Smokey Tomato Relish (vgn),Chef's Choice
Pita Chips (v),Chef's Choice
Butternut Squash Hummus (vgn),Chef's Choice
Hot & Sour Pork Ribbons,International
Fried Noodles (v),International
Salmon Roll,International
Grilled Vegetable and Bean Burrito (vgn),The Grill
Whole Wheat Pancake (v),The Grill
Pecan Butterscotch Brownie (w/nuts)(v),Bakery
Lasagna Bolognese,Chef's Choice
Vegetarian Rigatoni (v),Chef's Choice
Jerk Chicken,International
Mashed Yams (v),International
Fresh Vegetable Medley w/Spinach (vgn),International
Salmon Sushi Plate,International
Baked Oatmeal with Apple & Cinnamon (v),Greens & Grains
Fluffy Whole Wheat Waffles (v),Greens & Grains
Bagels-Breads & Cereals- See for Choices,Bakery
Cream Cheese (v),Bakery
Chinese Stir-Fried Tomatoes & Eggs (v),The Grill
Strawberry Pancakes (v),The Grill
Hash Browns (vgn),The Grill
Jicama Pico de Gallo Salad (vgn),Greens & Grains
Tomato Basil Soup (v),Greens & Grains
Pepperoni Pizza,The Brick
Greek Pasta w/Feta/Tom &Spinach,The Brick
Mustard Chicken Sauce,The Brick
Snickerdoodle Cookie (v),Bakery
Strawberry Cheese Bread Pudding(w/nuts(v,Bakery
Chicken Gyro,Chef's Choice
Cucumber Tzatziki (v),Chef's Choice
Roasted Potato Salad w/Goat Cheese (v),Chef's Choice
Asian Beef Bowl,International
California Club Roll,International
Grilled Cheddar On Wheat (v),The Grill
Red Chimichurri Sauce (vgn),The Grill
Caramelized Onion (vgn),The Grill
Wild Rice (vgn),Greens & Grains
Very Chocolate Cake w/Choc Icing (v),Bakery
Everything Naan (v),Bakery
Mojo Roasted Chicken (Pollo Asado),Chef's Choice
Cilantro Lime Crema (v),Chef's Choice
Cuban Style Black Beans & Rice (vgn),Chef's Choice
Sauteed Kale & Collard Greens (vgn),Chef's Choice
Thai Chicken Taco,International
Grilled Pineapple/Mango Salsa (vgn),International
Bang Bang Broccoli (vgn),International
California Club Roll with Brown Rice,International
Buckwheat Granola (w/nuts) (v),Greens & Grains
Lemon Yogurt Muffin (v),Bakery
Ensalada de Fruta con Tajin (vgn),Greens & Grains
Grilled Cajun Chicken Wrap,Greens & Grains
Miso Broth Soup with Spinach (vgn),Greens & Grains
Spinach & Ricotta Flatbread (v),The Brick
Penne Arrabiata with Chicken,The Brick
Hawaiian Sweet Bread (v),Bakery
Chocolate Pudding (v),Bakery
Mocha Cupcake (v),Bakery
Chicken Mole Enchiladas,Chef's Choice
Taco Rajas (vgn),Chef's Choice
Creole Shrimp Mofongo,International
Creole Beans and Rice (vgn),International
Vegetarian Cuban Sandwich (v),The Grill
Rhubarb Stacking Cake (v),Bakery
Chile Verde w/Pork & Corn Tortillas,Chef's Choice
Quesadilla w/Roasted Poblano Chiles(v),Chef's Choice
Lettuce/Cheese/Tomatoes (v),Chef's Choice
Grilled Tilapia,International
Chermoula Sauce (vgn),International
Harissa Lentils w/Pickled Onion (v),International
Chicken Congee,Greens & Grains
Grilled BBQ Chicken Pizza,The Brick
Chilaquiles (No Egg) (v),The Brick
Roasted Chicken & Zucchini Marinara,The Brick
Blueberry Bread (v),Bakery
Egg Ham & Cheese English Muffin Sandwich,Chef's Choice
Chicken White Bean Chili,Chef's Choice
Corn Pasta Sauce (v),The Brick
Apple Crisp (vgn),Bakery
Pesto Bread (v),Bakery
Chicken & Dumplings,Chef's Choice
Fresh Green Beans with Garlic (v),Chef's Choice
Roasted Potato Wedges (vgn),Chef's Choice
Shredded Beef Enchiladas,International
Vegetarian Tostada (v),International
Salmon Bowl with Brown Rice,International
Tomato Basil Pizza on White (v),The Brick
Bolognaise Sauce,The Brick
Penne Pasta with Pesto (v),The Brick
Blueberry Scone (v),Bakery
Ground Beef and Bean Tostada,Chef's Choice
Vegetable Fajita (v),Chef's Choice
Creamy Chipotle Salsa (v),Chef's Choice
White Wine Garlic Sauce with Shrimp,The Brick
Cornmeal Berry Cake (v),Bakery
Meatloaf,Chef's Choice
Beef Gravy,Chef's Choice
Mashed Red Potatoes w/ Garlic (v),Chef's Choice
Vietnamese Turkey Banh Mi,International
Vegetable Fried Rice (v),International
Granola Honeydew Parfait (v),Greens & Grains
Irish Soda Bread (v),Bakery
Marinated Broccoli & Bean Salad (vgn),Greens & Grains
Panini Pizza (v),Greens & Grains
Dilled Vegetable Barley Soup (v),Greens & Grains
Pearl Barley (vgn),Salad Bar Featured Items
Marinara Sauce (vgn),The Brick
Penne w/Butternut Squash Sauce (v),The Brick
Fluffy Almond Sugar Cookie (w/nuts)(vgn),Bakery
Ropa Vieja,Chef's Choice
Basmati Rice with Peas (vgn),Chef's Choice
Ensalada Cubana (vgn),Chef's Choice
Black Beans (vgn),Chef's Choice
Hunan Noodles with Spicy Pork Sauce,International
Honey Sriracha Glaze Brussel Sprouts (v),International
Grilled Cheese Chile & Veggie on Sour(v,The Grill
Housemade Ketchup (vgn),The Grill
Jamaican Rasta Pasta (v),The Brick
Fresh Cauliflower & Carrots (vgn),Chef's Choice
Shanghai Noodles & Chix w/Bean Sauce,International
Sauteed Vegetables Rice and Beans (v),International
Assorted Bagels & Condiments,Bakery
Brussel Hash (v),The Grill
Vegetarian Taco Salad (v),Greens & Grains
Spicy Black Bean Soup (v),Greens & Grains
Chicken Florentine Pizza w/White Sauce,The Brick
Tomato Basil Cream Sauce (v),The Brick
Fettucine Alfredo,The Brick
Challah Bread (v),Bakery
Granola Bar (w/nuts) (v),Bakery
Peanut Butter Fudge Cupcake (w/nuts) (v),Bakery
Shredded Cheddar Cheese,Chef's Choice
Vegetable Wrap (vgn),Chef's Choice
Ranch Potato Salad (v),Chef's Choice
Stir Fried Bok Choy (vgn),International
Grilled Swiss & Tomato on Wheat (v),The Grill
Mango Cake (v),Bakery
Shredded Braised Beef,Chef's Choice
Rice Pilaf (v),Chef's Choice
Chicken Chow Mein,International
Bok Choy & Nappa Cabbage w/Sesame(vgn),International
8 Grain Hot Cereal ,Greens & Grains
Alburro Sauce ,The Brick
Alfredo Sauce ,The Brick
Apple Cranberry Pancake Topping ,The Grill
Apple Crisp ,Bakery
Apple Kuchen ,Bakery
Asparagus & Egg Roll ,International
Baby Spinach ,Greens & Grains
Bacon Tomato Basil,The Brick
Baked Hawaiian Ham & Turkey Sandwich,Chef's Choice
Baked Pesto Pasta w/Chicken,Chef's Choice
Baked Potato ,Greens & Grains
Baked Rigatoni ,Chef's Choice
Baked Sweet Potato ,Greens & Grains
Baklava Cookie  ,Bakery
Banana Cake & Penut Butter Icing(w/nutv,Bakery
Banana Chocolate Chip Muffin ,Bakery
Banana Coffee Cake  ,Bakery
Banana Pancakes ,The Grill
Banana Wheat Pancakes ,The Grill
Bang Bang Broccoli ,International
Basmati Rice ,Greens & Grains
BBQ Chicken Thigh,Chef's Choice
Bean and Cheese Burrito ,The Grill
Beef Pho,International
Beef Stew,Chef's Choice
Black Bean Chilaquiles,Chef's Choice
Black Beans ,Chef's Choice
Black Beans w/Brown Rice & Cilantro,International
Blended Burger with Brioche Bun,The Grill
Blueberry Bread ,Bakery
Blueberry Coffee Cake ,Bakery
Blueberry Lemon Cake ,Bakery
Blueberry Muffin ,Bakery
Blueberry Pancakes ,The Grill
Blueberry Scone ,Bakery
Blueberry Yogurt ,Greens & Grains
Bok Choy & Nappa Cabbage w/Sesame,International
Bolognese Sauce,The Brick
Breakfast Burrito ,Chef's Choice
Breakfast Quesadilla ,Chef's Choice
Brioche ,Bakery
Brisket and Potato Kugel,Chef's Choice
Broccoli Spinach Bok Choy Stir Fry ,International
Brown Rice ,Greens & Grains
Brownie Matzo  ,Bakery
Brussel Hash ,The Grill
Bulgur Hot Cereal ,Greens & Grains
Bulgur Wheat ,Salad Bar Featured Items
Buttered Carrots with Thyme ,Chef's Choice
Buttered Noodles ,Chef's Choice
Buttermilk Pancakes ,The Grill
Butternut Squash Risotto ,Chef's Choice
Cabbage Cilantro Slaw ,Salad Bar Featured Items
Cage Free Scrambled Egg Whites ,The Grill
Calabaza con Queso,Chef's Choice
Caldo de Marisco,Greens & Grains
Cantaloupe ,Greens & Grains
Caprese Flatbread w/Balsamic Reduction,The Brick
Caramelized Onion ,The Grill
Caramelized Onion Compote ,The Grill
Carnitas Taco,International
Carrot & Zucchini with Lemon Butter ,Chef's Choice
Carrot & Zucchini with Lemon Sauce ,Chef's Choice
Carrot Walnut Bread  ,Bakery
Challah Bread ,Bakery
Cheese Enchilada ,Chef's Choice
Cheese Quesadilla with Chiles ,The Grill
Cheeseburger,The Grill
Cheeseburger Pizza,The Brick
Chef's Salmon Pasta,The Brick
Cherry Tomato Goat Cheese Herb Pizza ,The Brick
Chicken Adobo,Chef's Choice
Chicken Chile Verde Burrito,Chef's Choice
Chicken Chipotle Wrap,Greens & Grains
Chicken General Tso's,International
Chicken Pesto Pizza,The Brick
Chicken Provolone & Garlic Aioli Panini,Greens & Grains
Chicken Shoyu,International
Chicken Tikka Masala,International
