Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Pasta Shells w/Eggplant & Marinara (vgn),Baked Pesto Pasta w/Chicken,Chef's Choice,Spinach and Matzo Lasagna ,Chef's Choice,Farfalle Pasta (vgn),Chef's Choice,Lasagna Bolognese,Chef's Choice
Spanish Rice w/Roasted Corn (vgn),Brisket and Potato Kugel,Chef's Choice,Roasted Potato Wedges (vgn),Chef's Choice,Fresh Green Beans with Garlic ,Chef's Choice,Potato Vegetable Kugel ,Chef's Choice
White Beans (vgn),Refried Black Beans ,Chef's Choice,Roasted Potato Salad w/Goat Cheese (v),Chef's Choice,Mashed Red Potatoes w/ Garlic ,Chef's Choice,Basmati Rice with Peas (vgn),Chef's Choice
Pho Broth for Soup,Vietnamese Turkey Banh Mi,International,Matzo Ball Chicken Soup,Chef's Choice,Tempura Onion Roll ,International,Spicy Scallop Sushi Plate,International
Miso Ramen (v),Korean Style Pork Ribs,International,Hot & Sour Pork Ribbons,International,Spicy Shrimp Sushi Plate,International,Chicken Shoyu,International
Braised Bok Choy (vgn),Hoisin Chicken,International,Bok Choy & Nappa Cabbage w/Sesame,International,California Sushi Plate,International,Mashed Yams (v),International
Spicy Scallop Sushi Plate,Vietnamese Turkey Banh Mi,International,Vindaloo Chicken,International,Beef Pad Thai with Peanuts (w/nuts),International,Fried Noodles (v),International
Blueberry Yogurt (v),Sliced Swiss Cheese (v),Greens & Grains,Sliced Pineapple (vgn),Greens & Grains,Strawberry Yogurt (v),Greens & Grains,Sopa de Marisco (gf),Greens & Grains
Honeydew Melon (vgn),Grits (vgn),Greens & Grains,Strawberry Yogurt ,Greens & Grains,Fresh Strawberry (vgn),Greens & Grains,Quinoa Breakfast Bowl  ,Greens & Grains
Seedless Red Grape (vgn),Swiss Cheese,Greens & Grains,Peach Yogurt ,Greens & Grains,Raspberry Yogurt ,Greens & Grains,Vanilla Yogurt (v),Greens & Grains
Granola Black & Blue Parfait (v),Peach Yogurt (v),Greens & Grains,Spicy Kale Caesar ,Greens & Grains,Sliced Swiss Cheese ,Greens & Grains,Sliced Jack Cheese (v),Greens & Grains
Bulgur Hot Cereal (vgn),Fluffy Whole Wheat Waffles (v),Greens & Grains,Bulgur Hot Cereal ,Greens & Grains,Oatmeal ,Greens & Grains,8 Grain Hot Cereal ,Greens & Grains
Chocolate Chip Scone (v),Applesauce Coffee Cake (v),Bakery,Pecan Sour Cream Coffee Cake (w/nuts)(v),Bakery,Blueberry Coffee Cake ,Bakery,Peanut Butter Fudge Cupcake  ,Bakery
Pumpkin Muffins (w/nuts) (v),Mango Cake ,Bakery,Lime Bar ,Bakery,Toll House Bar (v),Bakery,German Chocolate Cake  ,Bakery
Buttermilk Pancakes (v),Banana Chocolate Chip Pancakes (v),The Grill,Blueberry Pancakes (v),The Grill,Whole Wheat Banana Pancake (v),The Grill,Whole Wheat Pancake (v),The Grill
Shakshuka (v),Matzo Brei ,The Grill,Scrambled Eggs with Ham & Cheese,The Grill,Fresh Cage Free Scrambled Eggs (v),The Grill,Cage Free Scrambled Egg Whites (v),The Grill
Fried Potato with Onion (vgn),Home Fried Potatos ,The Grill,Fresh Sauteed Spinach ,The Grill,Fresh Sauteed Spinach (vgn),The Grill,Mixed Greens Side Salad ,The Grill
Fresh Cauliflower (vgn),Sauteed Kale ,The Grill,Cauliflower w/Sugar Snap Peas (vgn),The Grill,Grilled Cheddar On Wheat (v),The Grill,Chinese Stir-Fried Tomatoes & Eggs (v),The Grill
Chicken Caesar Salad,Baby Spinach ,Greens & Grains,Cornmeal Waffle ,Greens & Grains,Watermelon Salad ,Greens & Grains,Italian Bread Salad (v),Greens & Grains
Turkey Club Wrap,Chinese Chicken Salad Wrap,Greens & Grains,Greek Chicken Wrap,Greens & Grains,Chicken Caesar Wrap,Greens & Grains,Vegetable Wrap ,Greens & Grains
Sliced Turkey,Cantaloupe ,Greens & Grains,Quinoa (vgn),Greens & Grains,Sliced Provolone Cheese (v),Greens & Grains,Blueberry Yogurt ,Greens & Grains
Sliced Turkey Pastrami,Italian Tomato Panini ,Greens & Grains,Sliced Genoa Salami,Greens & Grains,Cantaloupe (vgn),Greens & Grains,Honeydew & Berry Parfait (v),Greens & Grains
Swiss Cheese,Seedless Red Grape (vgn),Greens & Grains,Peach Yogurt ,Greens & Grains,Raspberry Yogurt ,Greens & Grains,Vanilla Yogurt (v),Greens & Grains
Baked Potato (vgn),Cherry Tomato White Bean Salad (vgn),Greens & Grains,Baked Potato ,Greens & Grains,Vegetable & Quinoa Salad ,Greens & Grains,Ensalada de Fruta con Tajin (vgn),Greens & Grains
Brown Rice (vgn),Jicama Pico de Gallo Salad (vgn),Greens & Grains,Watermelon Salad ,Greens & Grains,Cornmeal Waffle ,Greens & Grains,Chicken Caesar Salad,Greens & Grains
Sweet Potato Corn & Chipotle Soup (v),Sweet Potato Coconut Soup (vgn),Greens & Grains,Turkey Rice Soup,Greens & Grains,Tortilla Soup (vgn),Greens & Grains,Tortilla Soup ,Greens & Grains
Sweet Potato Chicken Flatbread,Spinach & Ricotta Flatbread (v),The Brick,Risotto with Fresh Vegetables (vgn),The Brick,Fusilli w/Roasted Vegetable & Asiago (v),The Brick,Roasted Vegetable Marinara Sauce ,The Brick
Antipasto Pizza,Meatball Pizza,The Brick,Grilled BBQ Chicken Pizza,The Brick,Garlic Pizza on Wheat ,The Brick,Sausage Mushroom Pizza,The Brick
Creamy Rosemary Sauce (v),Creamy Pesto Sauce ,The Brick,Fresh Tomato Basil Sauce ,The Brick,Greek Tomato Sauce ,The Brick,Creamy Pesto Sauce (v),The Brick
Penne Pasta (vgn),Penne Pasta ,The Brick,Orzo Pasta with Vegetables ,The Brick,Penne w/Butternut Squash Sauce ,The Brick,Pasta Penne with Chicken & Mushrooms,The Brick
Thick Focaccia Bread (vgn),Hawaiian Sweet Roll (v),Bakery,Strawberry Cheese Bread Pudding(w/nuts(v,Bakery,Challah Bread ,Bakery,Hawaiian Sweet Bread (v),Bakery
Shortbread Cookie (v),Vanilla Cupcake w/Strawberry Icing (v),Bakery,Fluffy Almond Sugar Cookie ,Bakery,Rhubarb Stacking Cake (v),Bakery,Orange Scone (v),Bakery
Carrot Walnut Cupcakes (w/nuts) (v),Applesauce Coffee Cake (v),Bakery,Pecan Sour Cream Coffee Cake (w/nuts)(v),Bakery,Blueberry Coffee Cake ,Bakery,Peanut Butter Fudge Cupcake  ,Bakery
Vietnamese Beef BBQ Sub Sandwich,Bean Rice & Cheese Burrito (v),Chef's Choice,Hot Turkey Sandwich,Chef's Choice,Taco Rajas (vgn),Chef's Choice,Chicken Mole Enchiladas,Chef's Choice
Chili Mango Bok Choy Slaw (vgn),Chicken Mole,Chef's Choice,Kale with Fresh Garlic ,Chef's Choice,Sauteed Kale (vgn),Chef's Choice,Baked Rigatoni ,Chef's Choice
Sauteed Kale (vgn),Couscous w/Butternut Squash ,Chef's Choice,Turkey Melt,Chef's Choice,Chili Mango Bok Choy Slaw (vgn),Chef's Choice,Chicken Mole,Chef's Choice
Cajun Chicken Jambalaya,Hot & Sour Pork Ribbons,International,Miso Ramen (v),International,Roasted Cauliflower w/Garlic ,International,Korean Style Pork Ribs,International
Red Beans and Rice (vgn),Rice with Cilantro & Onions ,International,Sticky Rice ,International,Roasted Mixed Vegetables ,International,Stir Fried Chinese Greens (vgn),International
Fresh Cauliflower & Broccoli Mix (vgn),Bang Bang Broccoli ,International,Roasted Red Onion & Zucchini (vgn),International,Smoked Fish Fritters w/Beet Vinaigrette,International,Roasted Broccoli and Red Onion ,International
Vegetable Roll (vgn),Thai Tofu Curry w/ Vegetables ,International,Thai Vegetable & Peanut Noodle(w/nut,International,Teriyaki Chicken Rice Bowl,International,Seasoned Vegetable Medley (vgn),International
